0,0,0,black
27,32,35,black
36,29,33,black
192,192,192,gray
211,211,211,gray
128,128,128,gray
255,255,255,white
243,239,227,white
248,249,254,white
236,32,32,red
255,0,0,red
242,29,64,red
128,0,128,purple
255,0,255,purple
238,130,238,purple
0,128,0,green
37,202,38,green
64,189,85,green
255,255,224,yellow
247,224,23,yellow
255,255,0,yellow
173,216,230,blue
0,0,255,blue
3,91,188,blue
255,73,230,pink
231,89,210,pink
255,57,185,pink
0,255,255,cyan
127,255,212,cyan
64,224,208,cyan
139,69,19,brown
205,133,63,brown
210,105,30,brown
255,140,0,orange
255,128,0,orange
255,215,0,orange
